"","season","team","conference","statName","statValue"
"80",2004,"Notre Dame","FBS Independents","fourthDownConversions",4
"81",2018,"Notre Dame","FBS Independents","firstDowns",302
"82",2013,"Notre Dame","FBS Independents","passesIntercepted",13
"83",1971,"Notre Dame","FBS Independents","games",10
"84",2023,"Notre Dame","FBS Independents","games",12
"85",2022,"Notre Dame","FBS Independents","interceptionYards",132
"86",2011,"Notre Dame","FBS Independents","passAttempts",473
"87",2008,"Notre Dame","FBS Independents","thirdDownConversions",63
"88",2021,"Notre Dame","FBS Independents","passCompletions",289
"89",2008,"Notre Dame","FBS Independents","interceptions",17
"90",2017,"Notre Dame","FBS Independents","puntReturnYards",156
"91",2005,"Notre Dame","FBS Independents","netPassingYards",4107
"92",2013,"Notre Dame","FBS Independents","puntReturnTDs",0
"93",2010,"Notre Dame","FBS Independents","rushingAttempts",414
"94",2006,"Notre Dame","FBS Independents","passesIntercepted",11
"95",2011,"Notre Dame","FBS Independents","rushingAttempts",433
"96",2007,"Notre Dame","FBS Independents","fumblesLost",21
"97",2005,"Notre Dame","FBS Independents","interceptionYards",223
"98",2013,"Notre Dame","FBS Independents","thirdDownConversions",74
"99",2020,"Notre Dame","FBS Independents","tacklesForLoss",87
"100",2019,"Notre Dame","FBS Independents","netPassingYards",3278
"101",2011,"Notre Dame","FBS Independents","interceptions",17
"102",1989,"Notre Dame","FBS Independents","games",13
"103",2007,"Notre Dame","FBS Independents","possessionTime",12710
"104",2006,"Notre Dame","FBS Independents","puntReturnYards",169
"105",2017,"Notre Dame","FBS Independents","kickReturns",36
"106",2013,"Notre Dame","FBS Independents","netPassingYards",3313
"107",2016,"Notre Dame","FBS Independents","thirdDowns",168
"108",2015,"Notre Dame","FBS Independents","games",13
"109",1972,"Notre Dame","FBS Independents","games",11
"110",2018,"Notre Dame","FBS Independents","passCompletions",268
"111",2012,"Notre Dame","FBS Independents","puntReturnTDs",0
"112",2018,"Notre Dame","FBS Independents","rushingAttempts",533
"113",2021,"Notre Dame","FBS Independents","penaltyYards",642
"114",1981,"Notre Dame","FBS Independents","games",11
"115",2018,"Notre Dame","FBS Independents","puntReturns",23
"116",2021,"Notre Dame","FBS Independents","fourthDowns",17
"117",2018,"Notre Dame","FBS Independents","passingTDs",23
"118",2014,"Notre Dame","FBS Independents","rushingAttempts",484
"119",2008,"Notre Dame","FBS Independents","puntReturnTDs",1
"120",2015,"Notre Dame","FBS Independents","interceptions",10
