"","collegeAthleteId","nflAthleteId","collegeId","collegeTeam","collegeConference","nflTeam","year","overall","round","pick","name","position","height","weight","preDraftRanking","preDraftPositionRanking","preDraftGrade","hometownInfo.city","hometownInfo.state","hometownInfo.country","hometownInfo.latitude","hometownInfo.longitude","hometownInfo.countyFips"
"126",NA,17755,87,"Notre Dame","FBS Independents","Arizona",1980,89,4,6,"Rusty Lisch","Quarterback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",-1026454,33630,87,"Notre Dame","FBS Independents","Los Angeles",2014,89,3,25,"Chris Watt","Offensive Guard",75,310,163,10,54,"Glen Ellyn","IL","USA","41.8775293","-88.0670118","17043"
"128",535958,50030,87,"Notre Dame","FBS Independents","Seattle",2016,90,3,27,"C.J. Prosise","Running Back",73,220,88,5,73,"Petersburg","VA","USA","37.227928","-77.4019268","51730"
"129",2080111,9181,87,"Notre Dame","FBS Independents","Tampa Bay",2006,90,3,26,"Maurice Stovall","Wide Receiver",76,217,57,5,84,NA,NA,NA,NA,NA,NA
"130",NA,21074,87,"Notre Dame","FBS Independents","Cincinnati",1990,91,4,10,"Mike Brennan","Offensive Tackle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,18756,87,"Notre Dame","FBS Independents","Chicago",1983,91,4,7,"Tom Thayer","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,22182,87,"Notre Dame","FBS Independents","Kansas City",1994,92,3,27,"Lake Dawson","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,21683,87,"Notre Dame","FBS Independents","Philadelphia",1992,92,4,8,"Tony Brooks","Running Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",3932423,103864,87,"Notre Dame","FBS Independents","Baltimore",2019,93,3,29,"Miles Boykin","Wide Receiver",76,220,61,9,80,"Tinley Park","IL","USA","41.5733669","-87.7844944","17031"
"135",NA,21686,87,"Notre Dame","FBS Independents","New Orleans",1992,95,4,11,"Gene McGuire","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",4242391,105189,87,"Notre Dame","FBS Independents","Tampa Bay",2021,95,3,32,"Robert Hainsey","Offensive Tackle",77,306,175,15,57,"Pittsburgh","PA","USA","40.4416941","-79.9900861","42003"
"137",NA,14069,87,"Notre Dame","FBS Independents","Miami",1971,99,4,21,"Joe Theismann","Quarterback",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,21384,87,"Notre Dame","FBS Independents","Las Vegas",1991,100,4,17,"Raghib Ismail","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,19436,87,"Notre Dame","FBS Independents","New York",1985,100,4,16,"Mark Bavaro","Tight End",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",-1026398,49661,87,"Notre Dame","FBS Independents","Jacksonville",2016,103,4,5,"Sheldon Day","Defensive Tackle",73,293,60,10,79,"Indianapolis","IN","USA","39.7683331","-86.1583502","18097"
"141",NA,14075,87,"Notre Dame","FBS Independents","New England",1971,105,5,1,"Tim Kelly","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,22003,87,"Notre Dame","FBS Independents","Indianapolis",1993,107,4,23,"Devon McDonald","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,14519,87,"Notre Dame","FBS Independents","New York",1972,107,5,3,"Tom Gatewood","Wide Receiver",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,13637,87,"Notre Dame","FBS Independents","New England",1970,107,5,3,"Bob Olson","Linebacker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",4046675,103540,87,"Notre Dame","FBS Independents","New York",2019,108,4,6,"Julian Love","Cornerback",71,195,54,7,82,"Westchester","IL","USA","41.8505866","-87.8820048","17031"
